# Body fitted drag for model part FluidModelPart.Drag_Drag_Auto1
# Time Fx Fy Fz
0.1 258.48022473 -0.21193325 -0.00000000
0.2 202.96158080 0.52717172 -0.00000000
0.30000000000000004 200.06124124 -0.28100570 -0.00000000
0.4 212.82466288 -0.61660683 -0.00000000
0.5 222.73855918 -1.36732022 -0.00000000
0.6 230.53820239 -2.82448772 -0.00000000
0.7 233.51802750 -3.91511173 -0.00000000
0.7999999999999999 231.27017454 -4.62569936 -0.00000000
0.8999999999999999 223.08532179 -5.02272262 -0.00000000
0.9999999999999999 209.91772329 -4.92366541 -0.00000000
1.0999999999999999 217.23078347 -4.03860245 -0.00000000
1.2 239.26223137 -2.52522017 -0.00000000
1.3 258.72624938 -0.09763849 -0.00000000
1.4000000000000001 280.87420861 2.31068114 -0.00000000
1.5000000000000002 301.83885342 7.37578220 -0.00000000
1.6000000000000003 321.69605879 12.25627056 -0.00000000
1.7000000000000004 336.92446797 16.17443421 -0.00000000
1.8000000000000005 345.90188529 19.23847655 -0.00000000
1.9000000000000006 348.36861865 19.10964421 -0.00000000
2.0000000000000004 346.42891993 15.28008199 -0.00000000
2.1000000000000005 343.03090160 7.70869943 -0.00000000
2.2000000000000006 340.44647720 -3.48335289 -0.00000000
2.3000000000000007 339.37290581 -17.92812300 -0.00000000
2.400000000000001 339.31188571 -34.86350594 -0.00000000
2.500000000000001 339.72661278 -52.85659355 -0.00000000
2.600000000000001 340.47076872 -69.16588603 -0.00000000
2.700000000000001 341.48945733 -79.95239189 -0.00000000
2.800000000000001 342.28416514 -80.08669339 -0.00000000
2.9000000000000012 342.42280577 -65.10149807 -0.00000000
3.0000000000000013 341.99352131 -32.87659751 -0.00000000
3.1000000000000014 341.64740804 14.53174941 -0.00000000
3.2000000000000015 342.59469310 70.54733434 -0.00000000
3.3000000000000016 346.52789231 123.31738174 -0.00000000
3.4000000000000017 354.00819217 156.26552492 -0.00000000
3.5000000000000018 363.59828101 152.89938040 -0.00000000
3.600000000000002 372.64021994 105.36521662 -0.00000000
3.700000000000002 378.00389392 17.10190970 -0.00000000
3.800000000000002 380.60392775 -96.90768106 -0.00000000
3.900000000000002 386.26372646 -212.19247593 -0.00000000
4.000000000000002 400.26884704 -296.10487454 -0.00000000
4.100000000000001 423.12082795 -320.22456624 -0.00000000
4.200000000000001 441.19259172 -262.83919402 -0.00000000
4.300000000000001 439.24315003 -116.96977401 -0.00000000
4.4 429.48671497 80.86083197 -0.00000000
4.5 431.22636066 265.79985767 -0.00000000
4.6 444.92759564 356.64141487 -0.00000000
4.699999999999999 464.57502215 341.08053196 -0.00000000
4.799999999999999 452.28490680 187.87381303 -0.00000000
4.899999999999999 430.77239464 -23.74551088 -0.00000000
4.999999999999998 437.84426088 -207.19392755 -0.00000000
5.099999999999998 449.16944597 -299.40220257 -0.00000000
5.1999999999999975 443.82292665 -291.04708215 -0.00000000
5.299999999999997 436.26534010 -207.24532331 -0.00000000
5.399999999999997 428.42114175 -76.95803346 -0.00000000
5.4999999999999964 422.48652773 79.42485943 -0.00000000
5.599999999999996 425.65302298 211.93563754 -0.00000000
5.699999999999996 429.50831336 282.85045951 -0.00000000
5.799999999999995 428.48543753 268.96643598 -0.00000000
5.899999999999995 432.51107087 168.83230694 -0.00000000
5.999999999999995 432.88611991 15.83825756 -0.00000000
6.099999999999994 431.37536341 -149.65772325 -0.00000000
6.199999999999994 436.61497383 -271.50794741 -0.00000000
6.299999999999994 456.14219019 -331.47327276 -0.00000000
6.399999999999993 476.93015842 -285.35004895 -0.00000000
6.499999999999993 460.19913973 -142.09752355 -0.00000000
6.5999999999999925 433.52643826 67.56854622 -0.00000000
6.699999999999992 442.98822869 247.56934413 -0.00000000
6.799999999999992 457.03726354 325.59686737 -0.00000000
6.8999999999999915 450.68805089 292.24805088 -0.00000000
6.999999999999991 436.88928298 176.02881184 -0.00000000
7.099999999999991 422.62210803 9.97451100 -0.00000000
7.19999999999999 424.84139314 -152.35549041 -0.00000000
7.29999999999999 442.20564264 -263.27832117 -0.00000000
7.39999999999999 450.87604153 -293.33158913 -0.00000000
7.499999999999989 451.26580045 -235.53834708 -0.00000000
7.599999999999989 442.51139518 -115.91770960 -0.00000000
7.699999999999989 427.19339159 46.05016448 -0.00000000
7.799999999999988 423.61354273 203.89366177 -0.00000000
7.899999999999988 431.33842260 300.21051940 -0.00000000
7.999999999999988 434.80840311 308.44946260 -0.00000000
8.099999999999987 433.76254952 205.85666952 -0.00000000
8.199999999999987 428.56848487 34.11251818 -0.00000000
8.299999999999986 433.07974037 -152.99203251 -0.00000000
8.399999999999986 445.20925299 -286.80991872 -0.00000000
8.499999999999986 458.91843947 -338.06850370 -0.00000000
8.599999999999985 468.92460401 -278.66336878 -0.00000000
8.699999999999985 451.65995026 -133.93404633 -0.00000000
8.799999999999985 430.44395367 62.14559223 -0.00000000
8.899999999999984 435.03173134 231.09800435 -0.00000000
8.999999999999984 444.41922539 312.08676924 -0.00000000
9.099999999999984 439.46382805 286.08608049 -0.00000000
9.199999999999983 433.25434397 174.97762076 -0.00000000
9.299999999999983 426.48029288 13.42424149 -0.00000000
