# Body fitted drag for model part FluidModelPart.Drag_Drag_Auto1
# Time Fx Fy Fz
0.1 239.75091501 -0.23894306 -0.00000000
0.2 180.66440994 0.22402892 -0.00000000
0.30000000000000004 192.82946596 -0.46882547 -0.00000000
0.4 210.96508171 -0.75798219 -0.00000000
0.5 224.98948057 -1.29138356 -0.00000000
0.6 234.17298743 -1.56034294 -0.00000000
0.7 240.41755738 -1.40676810 -0.00000000
0.7999999999999999 243.85924485 -1.28845763 -0.00000000
0.8999999999999999 244.02603239 -1.13915273 -0.00000000
0.9999999999999999 239.03597094 -0.65336229 -0.00000000
1.0999999999999999 248.45936348 -1.01480875 -0.00000000
1.2 268.05383184 -0.63511920 -0.00000000
1.3 278.38745231 0.99415099 -0.00000000
1.4000000000000001 290.54925069 2.58603572 -0.00000000
1.5000000000000002 304.89971584 4.55900897 -0.00000000
1.6000000000000003 320.54299011 6.17660900 -0.00000000
1.7000000000000004 334.83694753 6.59919216 -0.00000000
1.8000000000000005 344.73882403 5.51537435 -0.00000000
1.9000000000000006 349.27034204 3.22269939 -0.00000000
2.0000000000000004 350.00480030 0.01383053 -0.00000000
2.1000000000000005 349.59463686 -3.50529146 -0.00000000
2.2000000000000006 349.56052309 -7.10470965 -0.00000000
2.3000000000000007 349.70072883 -10.69117919 -0.00000000
2.400000000000001 349.29195295 -14.12053506 -0.00000000
2.500000000000001 348.09959422 -16.59091844 -0.00000000
2.600000000000001 346.51802337 -16.85518212 -0.00000000
2.700000000000001 345.09173552 -13.60670338 -0.00000000
2.800000000000001 344.17166661 -6.23377955 -0.00000000
2.9000000000000012 343.85874806 4.83769320 -0.00000000
3.0000000000000013 344.15356081 17.76990715 -0.00000000
3.1000000000000014 344.94696304 29.35082579 -0.00000000
3.2000000000000015 345.94877555 35.59662860 -0.00000000
3.3000000000000016 346.67881885 32.80492047 -0.00000000
3.4000000000000017 346.70399936 19.13516782 -0.00000000
3.5000000000000018 346.04290427 -4.69076073 -0.00000000
3.600000000000002 345.26475305 -34.78362041 -0.00000000
3.700000000000002 344.97870470 -64.48448232 -0.00000000
3.800000000000002 345.35329120 -85.91069718 -0.00000000
3.900000000000002 346.38302999 -91.85089490 -0.00000000
4.000000000000002 348.23379591 -78.13147434 -0.00000000
4.100000000000001 350.91254223 -45.70934494 -0.00000000
4.200000000000001 353.85100206 -0.44327410 -0.00000000
4.300000000000001 356.29023123 48.86800580 -0.00000000
4.4 358.16791238 92.16731577 -0.00000000
4.5 360.38643899 119.50061907 -0.00000000
4.6 362.81156816 121.76131859 -0.00000000
4.699999999999999 364.28838343 93.02323803 -0.00000000
4.799999999999999 365.14939866 33.13382050 -0.00000000
4.899999999999999 368.59808742 -49.27012052 -0.00000000
4.999999999999998 377.05480896 -137.59876147 -0.00000000
5.099999999999998 390.13980848 -211.26932789 -0.00000000
5.1999999999999975 404.03630758 -249.72066531 -0.00000000
5.299999999999997 411.59048392 -234.52749901 -0.00000000
5.399999999999997 409.82599784 -157.99541677 -0.00000000
5.4999999999999964 403.24978323 -29.44042745 -0.00000000
5.599999999999996 402.85560667 118.73949604 -0.00000000
5.699999999999996 414.46347017 241.69179937 -0.00000000
5.799999999999995 442.94718331 299.98801817 -0.00000000
5.899999999999995 478.13035333 264.42551013 -0.00000000
5.999999999999995 475.46679496 121.96428345 -0.00000000
6.099999999999994 452.01598448 -88.47643208 -0.00000000
6.199999999999994 462.44627476 -261.89898950 -0.00000000
6.299999999999994 483.43537649 -312.72152174 -0.00000000
6.399999999999993 490.75864987 -238.75667091 -0.00000000
6.499999999999993 461.75147146 -73.54408298 -0.00000000
6.5999999999999925 444.67574863 112.24660192 -0.00000000
6.699999999999992 459.17963999 235.77029672 -0.00000000
6.799999999999992 470.97302560 263.19265042 -0.00000000
6.8999999999999915 475.15707446 199.69049837 -0.00000000
6.999999999999991 460.71094488 78.93348948 -0.00000000
7.099999999999991 440.77839951 -77.77370121 -0.00000000
7.19999999999999 447.49946024 -216.56433725 -0.00000000
7.29999999999999 469.50949110 -280.74103794 -0.00000000
7.39999999999999 491.37774864 -246.84254439 -0.00000000
7.499999999999989 476.94972781 -114.09097446 -0.00000000
7.599999999999989 452.48654959 77.36919701 -0.00000000
7.699999999999989 463.55763582 241.52781531 -0.00000000
7.799999999999988 488.49336198 305.05607699 -0.00000000
7.899999999999988 501.67107993 253.32577601 -0.00000000
7.999999999999988 474.84205304 104.72361312 -0.00000000
8.099999999999987 448.70551392 -89.10406443 -0.00000000
8.199999999999987 465.29548073 -242.02603423 -0.00000000
8.299999999999986 482.68112279 -291.17120777 -0.00000000
8.399999999999986 489.41747525 -233.11042655 -0.00000000
8.499999999999986 470.79906143 -96.44556347 -0.00000000
8.599999999999985 448.53837317 84.23655982 -0.00000000
8.699999999999985 458.82708550 237.92557760 -0.00000000
8.799999999999985 482.83583055 302.81463611 -0.00000000
8.899999999999984 500.46850535 257.18684260 -0.00000000
8.999999999999984 480.69324714 119.45980108 -0.00000000
9.099999999999984 452.23876874 -72.93695919 -0.00000000
9.199999999999983 464.27263314 -239.75650056 -0.00000000
9.299999999999983 486.99407989 -304.09550440 -0.00000000
9.399999999999983 500.90773667 -256.60770792 -0.00000000
9.499999999999982 477.72419376 -113.53651838 -0.00000000
9.599999999999982 450.45985639 81.02014502 -0.00000000
9.699999999999982 462.68515832 241.14960994 -0.00000000
9.799999999999981 484.64087927 302.99236494 -0.00000000
9.89999999999998 496.40504195 253.08770760 -0.00000000
9.99999999999998 476.89507235 116.24562273 -0.00000000
10.09999999999998 450.37883413 -69.05432423 -0.00000000
10.19999999999998 461.30757757 -232.06423235 -0.00000000
10.29999999999998 483.16480311 -299.25740572 -0.00000000
10.399999999999979 499.08883459 -257.99322574 -0.00000000
10.499999999999979 480.17678213 -123.08349655 -0.00000000
10.599999999999978 451.68915458 68.05816387 -0.00000000
10.699999999999978 460.27572825 234.53783688 -0.00000000
10.799999999999978 483.93186140 305.49633281 -0.00000000
10.899999999999977 499.38178221 263.10183116 -0.00000000
10.999999999999977 480.26214198 126.53791433 -0.00000000
11.099999999999977 451.70982836 -62.70325370 -0.00000000
11.199999999999976 461.94682418 -229.53165539 -0.00000000
11.299999999999976 483.16291965 -298.19001041 -0.00000000
11.399999999999975 497.02733736 -257.19273508 -0.00000000
11.499999999999975 478.67875483 -124.56716796 -0.00000000
11.599999999999975 450.96135779 62.91751665 -0.00000000
11.699999999999974 458.51532268 228.50120234 -0.00000000
11.799999999999974 481.78945188 302.15003566 -0.00000000
11.899999999999974 497.93290374 263.72441780 -0.00000000
11.999999999999973 481.05936158 131.50880112 -0.00000000
12.099999999999973 452.34433532 -55.21750011 -0.00000000
12.199999999999973 460.52167823 -224.72965757 -0.00000000
12.299999999999972 482.45074957 -298.17098337 -0.00000000
12.399999999999972 498.03625972 -261.99700722 -0.00000000
12.499999999999972 480.39582667 -131.15168252 -0.00000000
12.599999999999971 451.61174747 57.05561802 -0.00000000
12.69999999999997 458.24332679 225.22699261 -0.00000000
12.79999999999997 481.44729674 301.41834254 -0.00000000
12.89999999999997 497.18888098 265.33976604 -0.00000000
12.99999999999997 481.19517715 135.13042346 -0.00000000
13.09999999999997 452.46101908 -49.98236564 -0.00000000
13.199999999999969 459.48952896 -220.37534710 -0.00000000
13.299999999999969 481.42354045 -296.76226155 -0.00000000
13.399999999999968 497.51560455 -263.89218807 -0.00000000
13.499999999999968 481.28152134 -136.11236813 -0.00000000
13.599999999999968 452.17683109 50.55484220 -0.00000000
13.699999999999967 457.24194916 220.84510564 -0.00000000
13.799999999999967 480.68274898 300.79827575 -0.00000000
13.899999999999967 497.27941258 268.61939878 -0.00000000
13.999999999999966 482.35774072 140.58123940 -0.00000000
14.099999999999966 453.10243510 -44.16766689 -0.00000000
14.199999999999966 458.89654343 -216.62425992 -0.00000000
14.299999999999965 480.94789951 -296.07643523 -0.00000000
14.399999999999965 497.18997487 -266.00693793 -0.00000000
14.499999999999964 481.85899077 -140.41511911 -0.00000000
14.599999999999964 452.55918910 45.04987445 -0.00000000
14.699999999999964 456.50316906 216.79006619 -0.00000000
14.799999999999963 479.95655128 299.63991962 -0.00000000
14.899999999999963 496.91171906 270.70253977 -0.00000000
14.999999999999963 483.13507359 145.13844039 -0.00000000
15.099999999999962 453.64714318 -38.42017443 -0.00000000
15.199999999999962 458.07993109 -212.55154531 -0.00000000
15.299999999999962 480.31242877 -295.31436049 -0.00000000
15.399999999999961 497.10255137 -268.57630124 -0.00000000
15.499999999999961 482.80274431 -145.28284231 -0.00000000
15.59999999999996 453.15938897 39.30937094 -0.00000000
15.69999999999996 455.90899838 212.90960873 -0.00000000
15.79999999999996 479.43410851 298.77184458 -0.00000000
15.89999999999996 496.69567817 273.02618862 -0.00000000
15.99999999999996 483.91994351 149.68687061 -0.00000000
16.09999999999996 454.18846542 -32.90293921 -0.00000000
16.19999999999996 457.35801871 -208.53220533 -0.00000000
16.29999999999996 479.71043965 -294.39219820 -0.00000000
16.399999999999963 496.82616728 -270.73234000 -0.00000000
16.499999999999964 483.59058998 -149.84319826 -0.00000000
16.599999999999966 453.76369286 33.56899215 -0.00000000
16.699999999999967 455.26072634 208.83462029 -0.00000000
16.79999999999997 478.83891522 297.77976598 -0.00000000
16.89999999999997 496.50800161 275.40762912 -0.00000000
16.99999999999997 484.80167460 154.39784580 -0.00000000
17.099999999999973 454.82537915 -27.24013279 -0.00000000
17.199999999999974 456.68277703 -204.45879410 -0.00000000
17.299999999999976 479.16714589 -293.50145458 -0.00000000
17.399999999999977 496.60087047 -272.94911289 -0.00000000
17.49999999999998 484.39023140 -154.41845904 -0.00000000
17.59999999999998 454.39586699 27.88629189 -0.00000000
17.69999999999998 454.68227156 204.75870047 -0.00000000
17.799999999999983 478.27878709 296.69675374 -0.00000000
17.899999999999984 496.26449875 277.63757933 -0.00000000
17.999999999999986 485.63027039 158.99949693 -0.00000000
18.099999999999987 455.48112374 -21.54558581 -0.00000000
18.19999999999999 456.00113599 -200.23574832 -0.00000000
18.29999999999999 478.59908800 -292.50919495 -0.00000000
18.39999999999999 496.37134704 -275.15279099 -0.00000000
18.499999999999993 485.23683438 -159.07713862 -0.00000000
18.599999999999994 455.09309769 22.08757020 -0.00000000
18.699999999999996 454.12786876 200.58138925 -0.00000000
18.799999999999997 477.73438649 295.57393773 -0.00000000
18.9 496.03254888 279.89669052 -0.00000000
19.0 486.48004327 163.65850623 -0.00000000
19.1 456.18469823 -15.77840746 -0.00000000
19.200000000000003 455.35091488 -195.89562899 -0.00000000
19.300000000000004 478.04370753 -291.41390327 -0.00000000
19.400000000000006 496.10215928 -277.28989624 -0.00000000
19.500000000000007 486.06893052 -163.72035402 -0.00000000
19.60000000000001 455.83068932 16.20561573 -0.00000000
19.70000000000001 453.57988676 196.25508595 -0.00000000
19.80000000000001 477.17052974 294.34983319 -0.00000000
19.900000000000013 495.77823759 282.11974084 -0.00000000
20.000000000000014 487.34140544 168.36176652 -0.00000000
20.100000000000016 456.94260451 -9.89842499 -0.00000000
20.200000000000017 454.72182143 -191.39991899 -0.00000000
20.30000000000002 477.48772046 -290.21259476 -0.00000000
20.40000000000002 495.81353401 -279.40164576 -0.00000000
20.50000000000002 486.90827560 -168.39355705 -0.00000000
20.600000000000023 456.61267844 10.22920292 -0.00000000
20.700000000000024 453.04979497 191.78342911 -0.00000000
20.800000000000026 476.59193736 293.01462554 -0.00000000
20.900000000000027 495.48815798 284.27652831 -0.00000000
21.00000000000003 488.19110602 173.07401892 -0.00000000
21.10000000000003 457.74322533 -3.92632076 -0.00000000
21.20000000000003 454.11097685 -186.73418526 -0.00000000
21.300000000000033 476.91799879 -288.88028471 -0.00000000
