# Body fitted drag for model part FluidModelPart.Drag_Drag_Auto1
# Time Fx Fy Fz
0.1 149.91308524 0.30611726 -0.00000000
0.2 120.95274550 -0.06004440 -0.00000000
0.30000000000000004 128.81131618 -0.08811988 -0.00000000
0.4 145.06925756 -0.37149880 -0.00000000
0.5 164.70511248 -0.80710728 -0.00000000
0.6 185.38084643 -2.70126326 -0.00000000
0.7 202.17440362 -6.25675210 -0.00000000
0.7999999999999999 210.82303123 -11.31498891 -0.00000000
0.8999999999999999 207.94362366 -18.18996538 -0.00000000
0.9999999999999999 192.12487922 -25.89813004 -0.00000000
1.0999999999999999 182.16445635 -33.62283957 -0.00000000
1.2 181.96354012 -41.77835766 -0.00000000
1.3 182.54883650 -49.31038712 -0.00000000
1.4000000000000001 188.16745215 -55.18233971 -0.00000000
1.5000000000000002 196.43976241 -58.42304465 -0.00000000
1.6000000000000003 204.36054898 -57.77132553 -0.00000000
1.7000000000000004 209.81725254 -52.28177689 -0.00000000
1.8000000000000005 212.63989396 -42.33370110 -0.00000000
1.9000000000000006 213.94110967 -29.78821673 -0.00000000
2.0000000000000004 214.75529677 -17.22799103 -0.00000000
2.1000000000000005 215.34391008 -8.03214413 -0.00000000
2.2000000000000006 215.52550236 -5.55952507 -0.00000000
2.3000000000000007 215.39459245 -12.99124723 -0.00000000
2.400000000000001 215.70232503 -32.25559253 -0.00000000
2.500000000000001 217.87966691 -61.93256713 -0.00000000
2.600000000000001 223.04410972 -94.91462279 -0.00000000
2.700000000000001 230.71325872 -119.20577523 -0.00000000
2.800000000000001 238.64900023 -122.29535222 -0.00000000
2.9000000000000012 243.98718689 -97.23157457 -0.00000000
3.0000000000000013 246.93030082 -45.84930192 -0.00000000
3.1000000000000014 250.54408533 20.40054992 -0.00000000
3.2000000000000015 259.98707626 83.41060962 -0.00000000
3.3000000000000016 278.75418322 123.59099719 -0.00000000
3.4000000000000017 299.54814262 102.27335253 -0.00000000
3.5000000000000018 301.98252587 22.12350227 -0.00000000
3.600000000000002 302.04266367 -78.29908071 -0.00000000
3.700000000000002 315.60180821 -130.49931150 -0.00000000
3.800000000000002 325.13425836 -117.23537608 -0.00000000
3.900000000000002 314.61992834 -47.06670832 -0.00000000
4.000000000000002 307.96162708 30.06494100 -0.00000000
4.100000000000001 314.72593842 69.29634635 -0.00000000
4.200000000000001 319.81089289 52.86013122 -0.00000000
4.300000000000001 312.86153412 -11.23471142 -0.00000000
4.4 308.16839069 -82.89977001 -0.00000000
4.5 316.20887995 -125.65881410 -0.00000000
4.6 322.63961226 -118.56405450 -0.00000000
4.699999999999999 310.33801858 -58.84890863 -0.00000000
4.799999999999999 301.02486174 24.11341166 -0.00000000
4.899999999999999 310.58772607 79.84149163 -0.00000000
4.999999999999998 321.97740863 78.28105957 -0.00000000
5.099999999999998 316.98672687 12.45990626 -0.00000000
5.1999999999999975 310.49407679 -76.13228438 -0.00000000
5.299999999999997 319.92217642 -134.73259406 -0.00000000
5.399999999999997 330.71007300 -138.78483288 -0.00000000
5.4999999999999964 319.15526564 -77.55861042 -0.00000000
5.599999999999996 305.37936859 14.64730787 -0.00000000
5.699999999999996 313.47882741 83.43166653 -0.00000000
5.799999999999995 326.48615951 93.83935906 -0.00000000
5.899999999999995 323.31339538 31.78218107 -0.00000000
5.999999999999995 313.49570262 -62.48012099 -0.00000000
6.099999999999994 320.84303564 -132.52690586 -0.00000000
6.199999999999994 333.70793000 -149.56405195 -0.00000000
